MESE,ANNO,TIPO_SOGGETTO,TIPOLOGIA_CERTIFICATO,BOLLO,ESENTI_DA_BOLLO,TOTALE
5,2022,Residenti,NASCITA,9860,11386,21246
5,2022,Residenti,RESIDENZA,38628,46718,85346
5,2022,Residenti,RESIDENZA IN CONVIVENZA,43,52,95
5,2022,Residenti,STATO CIVILE,9328,9933,19261
5,2022,Residenti,STATO FAMIGLIA,33309,41476,74785
5,2022,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,5999,7394,13393
5,2022,Residenti,STATO FAMIGLIA E STATO CIVILE,6026,6940,12966
5,2022,Residenti,STATO LIBERO,6300,4991,11291
5,2022,Residenti,UNIONE CIVILE ,38,33,71
6,2022,AIRE,CITTADINANZA,123,82,205
6,2022,AIRE,CONTESTUALE,321,257,578
6,2022,AIRE,MATRIMONIO,85,101,186
6,2022,AIRE,NASCITA,285,226,511
6,2022,AIRE,RESIDENZA,291,381,672
6,2022,AIRE,STATO CIVILE,6,6,12
6,2022,AIRE,STATO FAMIGLIA,176,209,385
6,2022,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,2,5,7
6,2022,AIRE,STATO FAMIGLIA E STATO CIVILE,2,1,3
6,2022,AIRE,STATO LIBERO,4,2,6
6,2022,AIRE,UNIONE CIVILE ,1,0,1
6,2022,Residenti,CITTADINANZA,1799,1390,3189
6,2022,Residenti,CONTESTUALE,37009,37048,74057
6,2022,Residenti,CONTRATTO CONVIVENZA,17,6,23
6,2022,Residenti,ESISTENZA IN VITA,1081,1377,2458
6,2022,Residenti,MATRIMONIO,8440,10568,19008
6,2022,Residenti,NASCITA,9164,10060,19224
6,2022,Residenti,RESIDENZA,35270,43656,78926
6,2022,Residenti,RESIDENZA IN CONVIVENZA,39,44,83
6,2022,Residenti,STATO CIVILE,8924,9560,18484
6,2022,Residenti,STATO FAMIGLIA,30469,38097,68566
6,2022,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,5612,6729,12341
6,2022,Residenti,STATO FAMIGLIA E STATO CIVILE,5341,6399,11740
6,2022,Residenti,STATO LIBERO,5703,4750,10453
6,2022,Residenti,UNIONE CIVILE ,41,40,81
7,2022,AIRE,CITTADINANZA,94,76,170
7,2022,AIRE,CONTESTUALE,300,262,562
7,2022,AIRE,ESISTENZA IN VITA,2,0,2
7,2022,AIRE,MATRIMONIO,109,121,230
7,2022,AIRE,NASCITA,264,223,487
7,2022,AIRE,RESIDENZA,320,367,687
7,2022,AIRE,STATO CIVILE,6,6,12
7,2022,AIRE,STATO FAMIGLIA,182,188,370
7,2022,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,1,1,2
7,2022,AIRE,STATO FAMIGLIA E STATO CIVILE,1,2,3
7,2022,AIRE,STATO LIBERO,1,0,1
7,2022,AIRE,UNIONE CIVILE ,2,0,2
7,2022,Residenti,CITTADINANZA,1550,1188,2738
7,2022,Residenti,CONTESTUALE,32029,44456,76485
7,2022,Residenti,CONTRATTO CONVIVENZA,15,16,31
7,2022,Residenti,ESISTENZA IN VITA,1043,1300,2343
7,2022,Residenti,MATRIMONIO,8067,9860,17927
7,2022,Residenti,NASCITA,8596,9666,18262
7,2022,Residenti,RESIDENZA,32611,40610,73221
7,2022,Residenti,RESIDENZA IN CONVIVENZA,40,29,69
7,2022,Residenti,STATO CIVILE,7916,8473,16389
7,2022,Residenti,STATO FAMIGLIA,27265,37003,64268
7,2022,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,5207,6565,11772
7,2022,Residenti,STATO FAMIGLIA E STATO CIVILE,4969,5557,10526
7,2022,Residenti,STATO LIBERO,4878,4123,9001
7,2022,Residenti,UNIONE CIVILE ,52,50,102
8,2022,AIRE,CITTADINANZA,104,69,173
8,2022,AIRE,CONTESTUALE,334,271,605
8,2022,AIRE,ESISTENZA IN VITA,2,0,2
8,2022,AIRE,MATRIMONIO,87,87,174
8,2022,AIRE,NASCITA,339,271,610
8,2022,AIRE,RESIDENZA,315,364,679
8,2022,AIRE,STATO CIVILE,5,1,6
8,2022,AIRE,STATO FAMIGLIA,175,179,354
8,2022,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,7,4,11
8,2022,AIRE,STATO FAMIGLIA E STATO CIVILE,1,1,2
8,2022,AIRE,STATO LIBERO,2,0,2
8,2022,AIRE,UNIONE CIVILE ,0,3,3
8,2022,Residenti,CITTADINANZA,1382,1024,2406
8,2022,Residenti,CONTESTUALE,24112,35100,59212
8,2022,Residenti,CONTRATTO CONVIVENZA,13,11,24
8,2022,Residenti,ESISTENZA IN VITA,800,964,1764
8,2022,Residenti,ISCRIZIONE NELLE LISTE ELETTORALI,0,1,1
8,2022,Residenti,MATRIMONIO,5390,6000,11390
8,2022,Residenti,NASCITA,7910,8478,16388
8,2022,Residenti,RESIDENZA,27623,33934,61557
8,2022,Residenti,RESIDENZA IN CONVIVENZA,25,40,65
8,2022,Residenti,STATO CIVILE,4639,5121,9760
8,2022,Residenti,STATO FAMIGLIA,21760,29638,51398
8,2022,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,4245,5404,9649
8,2022,Residenti,STATO FAMIGLIA E STATO CIVILE,3429,4097,7526
8,2022,Residenti,STATO LIBERO,2330,1886,4216
8,2022,Residenti,UNIONE CIVILE ,32,35,67
9,2022,AIRE,CITTADINANZA,127,62,189
9,2022,AIRE,CONTESTUALE,330,290,620
9,2022,AIRE,ESISTENZA IN VITA,3,4,7
9,2022,AIRE,MATRIMONIO,120,125,245
9,2022,AIRE,NASCITA,302,276,578
9,2022,AIRE,RESIDENZA,297,403,700
9,2022,AIRE,STATO CIVILE,11,5,16
9,2022,AIRE,STATO FAMIGLIA,187,197,384
9,2022,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,7,3,10
9,2022,AIRE,STATO FAMIGLIA E STATO CIVILE,3,0,3
9,2022,AIRE,STATO LIBERO,5,4,9
9,2022,Residenti,CITTADINANZA,2251,1877,4128
9,2022,Residenti,CONTESTUALE,42871,85907,128778
9,2022,Residenti,CONTRATTO CONVIVENZA,11,21,32
9,2022,Residenti,ESISTENZA IN VITA,1358,1399,2757
9,2022,Residenti,MATRIMONIO,9567,12016,21583
9,2022,Residenti,NASCITA,11006,14311,25317
9,2022,Residenti,RESIDENZA,40655,53491,94146
9,2022,Residenti,RESIDENZA IN CONVIVENZA,53,59,112
9,2022,Residenti,STATO CIVILE,9360,10153,19513
9,2022,Residenti,STATO FAMIGLIA,35196,55534,90730
9,2022,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,6481,8544,15025
9,2022,Residenti,STATO FAMIGLIA E STATO CIVILE,5689,6986,12675
9,2022,Residenti,STATO LIBERO,5631,4881,10512
9,2022,Residenti,UNIONE CIVILE ,46,62,108
10,2022,AIRE,CITTADINANZA,126,73,199
10,2022,AIRE,CONTESTUALE,346,317,663
10,2022,AIRE,ESISTENZA IN VITA,1,0,1
10,2022,AIRE,MATRIMONIO,112,114,226
10,2022,AIRE,NASCITA,341,269,610
10,2022,AIRE,RESIDENZA,352,388,740
10,2022,AIRE,STATO CIVILE,13,6,19
10,2022,AIRE,STATO FAMIGLIA,197,208,405
10,2022,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,7,5,12
10,2022,AIRE,STATO FAMIGLIA E STATO CIVILE,5,3,8
10,2022,AIRE,STATO LIBERO,6,5,11
10,2022,Residenti,CITTADINANZA,2084,1751,3835
10,2022,Residenti,CONTESTUALE,42143,68158,110301
10,2022,Residenti,CONTRATTO CONVIVENZA,14,17,31
10,2022,Residenti,ESISTENZA IN VITA,1290,1429,2719
10,2022,Residenti,GODIMENTO DEI DIRITTI POLITICI,0,1,1
10,2022,Residenti,ISCRIZIONE NELLE LISTE ELETTORALI,0,1,1
10,2022,Residenti,MATRIMONIO,9494,11657,21151
10,2022,Residenti,NASCITA,10293,12912,23205
10,2022,Residenti,RESIDENZA,40404,52504,92908
10,2022,Residenti,RESIDENZA IN CONVIVENZA,50,50,100
10,2022,Residenti,STATO CIVILE,9054,9910,18964
10,2022,Residenti,STATO FAMIGLIA,35818,50456,86274
10,2022,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,6610,8444,15054
10,2022,Residenti,STATO FAMIGLIA E STATO CIVILE,6136,7375,13511
10,2022,Residenti,STATO LIBERO,5081,4548,9629
10,2022,Residenti,UNIONE CIVILE ,54,48,102
11,2022,AIRE,CITTADINANZA,145,66,211
11,2022,AIRE,CONTESTUALE,381,336,717
11,2022,AIRE,ESISTENZA IN VITA,2,1,3
11,2022,AIRE,MATRIMONIO,118,123,241
11,2022,AIRE,NASCITA,354,270,624
11,2022,AIRE,RESIDENZA,354,346,700
11,2022,AIRE,STATO CIVILE,9,3,12
11,2022,AIRE,STATO FAMIGLIA,204,197,401
11,2022,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,3,2,5
11,2022,AIRE,STATO FAMIGLIA E STATO CIVILE,4,6,10
11,2022,AIRE,STATO LIBERO,1,2,3
11,2022,AIRE,UNIONE CIVILE ,0,1,1
11,2022,Residenti,CITTADINANZA,2261,1694,3955
11,2022,Residenti,CONTESTUALE,40179,50206,90385
11,2022,Residenti,CONTRATTO CONVIVENZA,17,8,25
11,2022,Residenti,ESISTENZA IN VITA,1411,1599,3010
11,2022,Residenti,GODIMENTO DEI DIRITTI POLITICI,0,3,3
11,2022,Residenti,ISCRIZIONE NELLE LISTE ELETTORALI,0,1,1
11,2022,Residenti,MATRIMONIO,8829,11601,20430
11,2022,Residenti,NASCITA,10370,11902,22272
11,2022,Residenti,RESIDENZA,39676,48777,88453
11,2022,Residenti,RESIDENZA IN CONVIVENZA,50,48,98
11,2022,Residenti,STATO CIVILE,9671,10240,19911
11,2022,Residenti,STATO FAMIGLIA,33650,45402,79052
11,2022,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,6884,8585,15469
11,2022,Residenti,STATO FAMIGLIA E STATO CIVILE,5980,6983,12963
11,2022,Residenti,STATO LIBERO,5504,4995,10499
11,2022,Residenti,UNIONE CIVILE ,62,37,99
12,2022,AIRE,CITTADINANZA,173,59,232
12,2022,AIRE,CONTESTUALE,437,311,748
12,2022,AIRE,ESISTENZA IN VITA,1,1,2
12,2022,AIRE,MATRIMONIO,111,113,224
12,2022,AIRE,NASCITA,330,245,575
12,2022,AIRE,RESIDENZA,449,368,817
12,2022,AIRE,STATO CIVILE,8,6,14
12,2022,AIRE,STATO FAMIGLIA,241,187,428
12,2022,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,4,3,7
12,2022,AIRE,STATO FAMIGLIA E STATO CIVILE,2,2,4
12,2022,AIRE,STATO LIBERO,2,1,3
12,2022,AIRE,UNIONE CIVILE ,1,0,1
12,2022,Residenti,CITTADINANZA,2673,1381,4054
12,2022,Residenti,CONTESTUALE,34668,34629,69297
12,2022,Residenti,CONTRATTO CONVIVENZA,18,9,27
12,2022,Residenti,ESISTENZA IN VITA,1955,1538,3493
12,2022,Residenti,MATRIMONIO,7293,8391,15684
12,2022,Residenti,NASCITA,9742,9090,18832
12,2022,Residenti,RESIDENZA,35146,40093,75239
12,2022,Residenti,RESIDENZA IN CONVIVENZA,44,52,96
12,2022,Residenti,STATO CIVILE,8357,7922,16279
12,2022,Residenti,STATO FAMIGLIA,29692,35148,64840
12,2022,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,6639,6780,13419
12,2022,Residenti,STATO FAMIGLIA E STATO CIVILE,5837,5355,11192
12,2022,Residenti,STATO LIBERO,4853,3384,8237
12,2022,Residenti,UNIONE CIVILE ,42,35,77
1,2023,AIRE,CITTADINANZA,13,187,200
1,2023,AIRE,CONTESTUALE,38,827,865
1,2023,AIRE,ESISTENZA IN VITA,0,4,4
1,2023,AIRE,MATRIMONIO,14,221,235
1,2023,AIRE,NASCITA,29,576,605
1,2023,AIRE,RESIDENZA,35,899,934
1,2023,AIRE,STATO CIVILE,2,21,23
1,2023,AIRE,STATO FAMIGLIA,23,417,440
1,2023,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,0,11,11
1,2023,AIRE,STATO FAMIGLIA E STATO CIVILE,0,6,6
1,2023,AIRE,STATO LIBERO,1,10,11
1,2023,AIRE,UNIONE CIVILE ,0,2,2
1,2023,Residenti,CITTADINANZA,136,3172,3308
1,2023,Residenti,CONTESTUALE,2292,90146,92438
1,2023,Residenti,CONTRATTO CONVIVENZA,0,26,26
1,2023,Residenti,ESISTENZA IN VITA,105,2999,3104
1,2023,Residenti,MATRIMONIO,408,17717,18125
1,2023,Residenti,NASCITA,711,22006,22717
1,2023,Residenti,RESIDENZA,2470,93874,96344
1,2023,Residenti,RESIDENZA IN CONVIVENZA,4,116,120
1,2023,Residenti,STATO CIVILE,439,17629,18068
1,2023,Residenti,STATO FAMIGLIA,3224,117502,120726
1,2023,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,464,18728,19192
1,2023,Residenti,STATO FAMIGLIA E STATO CIVILE,454,15327,15781
1,2023,Residenti,STATO LIBERO,212,7726,7938
1,2023,Residenti,UNIONE CIVILE ,2,76,78
2,2023,AIRE,CITTADINANZA,0,183,183
2,2023,AIRE,CONTESTUALE,0,735,735
2,2023,AIRE,ESISTENZA IN VITA,0,2,2
2,2023,AIRE,MATRIMONIO,0,232,232
2,2023,AIRE,NASCITA,0,597,597
2,2023,AIRE,RESIDENZA,0,758,758
2,2023,AIRE,STATO CIVILE,0,21,21
2,2023,AIRE,STATO FAMIGLIA,0,410,410
2,2023,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,0,11,11
2,2023,AIRE,STATO FAMIGLIA E STATO CIVILE,0,11,11
2,2023,AIRE,STATO LIBERO,0,11,11
2,2023,AIRE,UNIONE CIVILE ,0,6,6
2,2023,Residenti,CITTADINANZA,0,2965,2965
2,2023,Residenti,CONTESTUALE,0,86296,86296
2,2023,Residenti,CONTRATTO CONVIVENZA,0,18,18
2,2023,Residenti,ESISTENZA IN VITA,0,2289,2289
2,2023,Residenti,MATRIMONIO,0,18145,18145
2,2023,Residenti,NASCITA,0,19864,19864
2,2023,Residenti,RESIDENZA,0,87981,87981
2,2023,Residenti,RESIDENZA IN CONVIVENZA,0,106,106
2,2023,Residenti,STATO CIVILE,0,17824,17824
2,2023,Residenti,STATO FAMIGLIA,0,88478,88478
2,2023,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,0,14606,14606
2,2023,Residenti,STATO FAMIGLIA E STATO CIVILE,0,13002,13002
2,2023,Residenti,STATO LIBERO,0,8342,8342
2,2023,Residenti,UNIONE CIVILE ,0,79,79
3,2023,AIRE,CITTADINANZA,0,185,185
3,2023,AIRE,CONTESTUALE,0,764,764
3,2023,AIRE,ESISTENZA IN VITA,0,6,6
3,2023,AIRE,MATRIMONIO,0,286,286
3,2023,AIRE,NASCITA,0,564,564
3,2023,AIRE,RESIDENZA,0,899,899
3,2023,AIRE,STATO CIVILE,0,22,22
3,2023,AIRE,STATO FAMIGLIA,0,391,391
3,2023,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,0,15,15
3,2023,AIRE,STATO FAMIGLIA E STATO CIVILE,0,8,8
3,2023,AIRE,STATO LIBERO,0,8,8
3,2023,AIRE,UNIONE CIVILE ,0,2,2
3,2023,Residenti,CITTADINANZA,0,2960,2960
3,2023,Residenti,CONTESTUALE,0,85797,85797
3,2023,Residenti,CONTRATTO CONVIVENZA,0,23,23
3,2023,Residenti,ESISTENZA IN VITA,0,2349,2349
3,2023,Residenti,MATRIMONIO,0,17011,17011
3,2023,Residenti,NASCITA,0,19911,19911
3,2023,Residenti,RESIDENZA,0,88626,88626
3,2023,Residenti,RESIDENZA IN CONVIVENZA,0,101,101
3,2023,Residenti,STATO CIVILE,0,17297,17297
3,2023,Residenti,STATO FAMIGLIA,0,78039,78039
3,2023,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,0,13189,13189
3,2023,Residenti,STATO FAMIGLIA E STATO CIVILE,0,11778,11778
3,2023,Residenti,STATO LIBERO,0,7666,7666
3,2023,Residenti,UNIONE CIVILE ,0,81,81
4,2023,AIRE,CITTADINANZA,0,158,158
4,2023,AIRE,CONTESTUALE,0,623,623
4,2023,AIRE,ESISTENZA IN VITA,0,4,4
4,2023,AIRE,MATRIMONIO,0,190,190
4,2023,AIRE,NASCITA,0,445,445
4,2023,AIRE,RESIDENZA,0,702,702
4,2023,AIRE,STATO CIVILE,0,15,15
4,2023,AIRE,STATO FAMIGLIA,0,328,328
4,2023,AIRE,STATO FAMIGLIA CON RAPPORTI PARENTELA,0,5,5
4,2023,AIRE,STATO FAMIGLIA E STATO CIVILE,0,5,5
4,2023,AIRE,STATO LIBERO,0,7,7
4,2023,AIRE,UNIONE CIVILE ,0,3,3
4,2023,Residenti,CITTADINANZA,0,2345,2345
4,2023,Residenti,CONTESTUALE,0,63654,63654
4,2023,Residenti,CONTRATTO CONVIVENZA,0,13,13
4,2023,Residenti,ESISTENZA IN VITA,0,1630,1630
4,2023,Residenti,MATRIMONIO,0,11894,11894
4,2023,Residenti,NASCITA,0,14551,14551
4,2023,Residenti,RESIDENZA,0,69127,69127
4,2023,Residenti,RESIDENZA IN CONVIVENZA,0,88,88
4,2023,Residenti,STATO CIVILE,0,12493,12493
4,2023,Residenti,STATO FAMIGLIA,0,54570,54570
4,2023,Residenti,STATO FAMIGLIA CON RAPPORTI PARENTELA,0,9432,9432
